Index,Time(ns)
1000,1956
2000,1956
3000,2235
4000,1956
5000,1956
6000,1676
7000,1956
8000,1676
9000,1955
10000,1955
11000,1956
12000,1955
13000,2794
14000,2235
15000,1956
16000,1955
17000,1955
18000,1956
19000,1955
20000,2235
21000,2235
22000,2235
23000,1956
24000,1956
25000,3352
26000,2235
27000,1956
28000,2235
29000,2235
30000,2235
31000,1955
32000,2235
33000,2235
34000,2235
35000,2235
36000,1955
37000,2235
38000,2235
39000,2235
40000,1956
41000,2235
42000,2235
43000,1956
44000,1955
45000,2235
46000,1956
47000,1956
48000,2235
49000,1955
50000,2235
51000,2235
52000,2235
53000,1956
54000,2235
55000,2235
56000,2235
57000,1955
58000,2235
59000,1955
60000,2235
61000,1956
62000,2235
63000,2235
64000,2514
65000,2234
66000,2235
67000,2235
68000,2235
69000,2235
70000,2235
71000,2235
72000,2794
73000,1956
74000,2235
75000,1956
76000,2235
77000,2235
78000,1955
79000,2235
80000,2235
81000,2235
82000,1955
83000,1955
84000,1956
85000,1955
86000,2235
87000,2235
88000,2235
89000,1955
90000,2235
91000,1955
92000,2235
93000,2235
94000,1956
95000,2235
96000,3632
97000,2235
98000,2235
99000,1955
100000,2234
101000,2235
102000,1955
103000,2514
104000,1955
105000,2235
106000,2235
107000,2235
108000,1956
109000,1956
110000,2235
111000,2235
112000,2235
113000,2235
114000,2235
115000,1956
116000,1956
117000,1956
118000,1956
119000,1955
120000,2235
121000,2514
122000,2235
123000,2235
124000,1956
125000,1956
126000,1956
127000,2235
128000,2235
129000,1956
130000,2235
131000,2514
132000,2235
133000,1955
134000,1955
135000,1956
136000,2235
137000,1955
138000,1955
139000,2235
140000,2235
141000,2235
142000,1956
143000,2235
144000,2235
145000,2235
146000,2234
147000,2235
148000,2235
149000,2235
150000,1956
151000,2235
152000,1956
153000,1956
154000,2235
155000,2235
156000,2235
157000,2235
158000,2514
159000,2235
160000,2235
161000,2235
162000,2515
163000,2235
164000,1956
165000,2235
166000,1956
167000,2235
168000,2235
169000,2514
170000,2794
171000,2235
172000,2235
173000,2235
174000,3631
175000,2235
176000,2235
177000,2234
178000,2235
179000,2235
180000,2234
181000,2235
182000,2235
183000,2235
184000,2235
185000,2235
186000,2235
187000,2235
188000,2235
189000,1956
190000,2235
191000,2235
192000,2514
193000,2235
194000,2514
195000,2235
196000,2235
197000,2235
198000,2235
199000,2235
200000,2235
201000,2235
202000,2235
203000,2235
204000,2235
205000,1956
206000,2235
207000,1956
208000,2235
209000,2515
210000,2515
211000,2235
212000,2235
213000,2235
214000,2235
215000,2235
216000,2235
217000,1956
218000,2235
219000,2235
220000,2235
221000,2514
222000,2794
223000,1955
224000,1955
225000,2514
226000,2515
227000,2235
228000,2235
229000,2235
230000,2234
231000,2235
232000,2235
233000,2235
234000,2514
235000,1955
236000,2235
237000,1956
238000,2514
239000,2235
240000,2235
241000,1955
242000,2235
243000,2235
244000,2235
245000,3632
246000,2235
247000,2235
248000,2235
249000,2235
250000,2235
251000,2235
252000,2514
253000,2235
254000,2235
255000,2514
256000,4470
257000,1956
258000,2235
259000,2235
260000,2235
261000,2514
262000,2235
263000,1956
264000,2515
265000,1956
266000,2514
267000,2235
268000,1955
269000,3073
270000,2514
271000,1956
272000,2514
273000,2794
274000,2514
275000,2235
276000,2235
277000,2794
278000,2514
279000,2235
280000,2514
281000,2514
282000,2514
283000,2235
284000,2514
285000,2793
286000,2235
287000,2514
288000,2515
289000,2514
290000,2235
291000,2514
292000,2235
293000,2235
294000,2515
295000,2515
296000,2793
297000,2794
298000,2235
299000,2515
300000,1956
301000,2235
302000,2514
303000,2235
304000,2514
305000,2794
306000,2794
307000,2794
